Source,Target,Value
15-19 Male,15-19 Female,0.653
15-19 Male,20-24 Female,0.050
15-19 Male,25-29 Female,0.005
20-24 Male,15-19 Female,4.752
20-24 Male,20-24 Female,4.290
20-24 Male,25-29 Female,0.171
20-24 Male,30-34 Female,0.065
20-24 Male,35-39 Female,0.076
25-29 Male,15-19 Female,2.772
25-29 Male,20-24 Female,12.659
25-29 Male,25-29 Female,3.636
25-29 Male,30-34 Female,0.242
25-29 Male,35-39 Female,0.019
25-29 Male,40-44 Female,0.019
25-29 Male,45-49 Female,0.001
30-34 Male,15-19 Female,0.523
30-34 Male,20-24 Female,3.943
30-34 Male,25-29 Female,6.486
30-34 Male,30-34 Female,1.655
30-34 Male,35-39 Female,0.192
30-34 Male,40-44 Female,0.074
30-34 Male,45-49 Female,0.059
35-39 Male,15-19 Female,0.286
35-39 Male,20-24 Female,1.424
35-39 Male,25-29 Female,3.276
35-39 Male,30-34 Female,3.686
35-39 Male,35-39 Female,1.349
35-39 Male,40-44 Female,0.397
35-39 Male,45-49 Female,0.065
35-39 Male,50-54 Female,0.455
35-39 Male,55-59 Female,0.008
40-44 Male,15-19 Female,0.208
40-44 Male,20-24 Female,0.763
40-44 Male,25-29 Female,0.938
40-44 Male,30-34 Female,1.567
40-44 Male,35-39 Female,2.140
40-44 Male,40-44 Female,1.054
40-44 Male,45-49 Female,0.102
40-44 Male,50-54 Female,0.083
40-44 Male,55-59 Female,0.010
45-49 Male,15-19 Female,0.023
45-49 Male,20-24 Female,0.066
45-49 Male,25-29 Female,0.100
45-49 Male,30-34 Female,0.207
45-49 Male,35-39 Female,0.535
45-49 Male,40-44 Female,0.338
45-49 Male,45-49 Female,0.262
45-49 Male,50-54 Female,0.033
45-49 Male,55-59 Female,0.292
45-49 Male,60+ Female,0.076
50-54 Male,15-19 Female,0.003
50-54 Male,20-24 Female,0.012
50-54 Male,25-29 Female,0.017
50-54 Male,30-34 Female,0.116
50-54 Male,35-39 Female,0.082
50-54 Male,40-44 Female,0.241
50-54 Male,45-49 Female,0.358
50-54 Male,50-54 Female,0.093
50-54 Male,55-59 Female,0.017
50-54 Male,60+ Female,0.050
55-59 Male,20-24 Female,0.015
55-59 Male,25-29 Female,0.078
55-59 Male,30-34 Female,0.039
55-59 Male,35-39 Female,0.176
55-59 Male,40-44 Female,0.119
55-59 Male,45-49 Female,0.181
55-59 Male,50-54 Female,0.098
55-59 Male,55-59 Female,0.029
55-59 Male,60+ Female,0.300
60+ Male,15-19 Female,0.002
60+ Male,20-24 Female,0.009
60+ Male,25-29 Female,0.005
60+ Male,30-34 Female,0.008
60+ Male,35-39 Female,0.035
60+ Male,40-44 Female,0.034
60+ Male,45-49 Female,0.030
60+ Male,50-54 Female,0.024
60+ Male,55-59 Female,0.050
60+ Male,60+ Female,0.526
15-19 Female,15-24 Male,0.988
15-19 Female,20-24 Male,1.894
15-19 Female,25-29 Male,0.431
15-19 Female,30-34 Male,0.061
15-19 Female,35-39 Male,0.024
15-19 Female,40-44 Male,0.020
20-24 Female,15-24 Male,0.212
20-24 Female,20-24 Male,4.804
20-24 Female,25-29 Male,5.526
20-24 Female,30-34 Male,1.290
20-24 Female,35-39 Male,0.341
20-24 Female,40-44 Male,0.206
20-24 Female,45-49 Male,0.039
20-24 Female,50-54 Male,0.009
20-24 Female,55-59 Male,0.012
20-24 Female,60+ Male,0.020
25-29 Female,15-24 Male,0.032
25-29 Female,20-24 Male,0.280
25-29 Female,25-29 Male,2.320
25-29 Female,30-34 Male,3.103
25-29 Female,35-39 Male,1.146
25-29 Female,40-44 Male,0.370
25-29 Female,45-49 Male,0.087
25-29 Female,50-54 Male,0.018
25-29 Female,55-59 Male,0.090
25-29 Female,60+ Male,0.017
30-34 Female,20-24 Male,0.108
30-34 Female,25-29 Male,0.156
30-34 Female,30-34 Male,0.803
30-34 Female,35-39 Male,1.307
30-34 Female,40-44 Male,0.628
30-34 Female,45-49 Male,0.183
30-34 Female,50-54 Male,0.120
30-34 Female,55-59 Male,0.045
30-34 Female,60+ Male,0.026
35-39 Female,20-24 Male,0.120
35-39 Female,25-29 Male,0.011
35-39 Female,30-34 Male,0.088
35-39 Female,35-39 Male,0.453
35-39 Female,40-44 Male,0.812
35-39 Female,45-49 Male,0.448
35-39 Female,50-54 Male,0.080
35-39 Female,55-59 Male,0.195
35-39 Female,60+ Male,0.105
40-44 Female,25-29 Male,0.008
40-44 Female,30-34 Male,0.023
40-44 Female,35-39 Male,0.088
40-44 Female,40-44 Male,0.264
40-44 Female,45-49 Male,0.187
40-44 Female,50-54 Male,0.157
40-44 Female,55-59 Male,0.087
40-44 Female,60+ Male,0.068
45-49 Female,30-34 Male,0.009
45-49 Female,35-39 Male,0.007
45-49 Female,40-44 Male,0.012
45-49 Female,45-49 Male,0.070
45-49 Female,50-54 Male,0.112
45-49 Female,55-59 Male,0.064
45-49 Female,60+ Male,0.029
50-54 Female,35-39 Male,0.037
50-54 Female,40-44 Male,0.008
50-54 Female,45-49 Male,0.007
50-54 Female,50-54 Male,0.023
50-54 Female,55-59 Male,0.027
50-54 Female,60+ Male,0.018
55-59 Female,45-49 Male,0.019
55-59 Female,60+ Male,0.012
